Longitude,Latitude,Time
48.793750829616734,44.61392103706425,15:48:58
48.803197251577984,44.56610284641213,16:43:58
48.79149891682745,44.552420377350465,17:38:58
48.74147399052518,44.60682196421907,18:33:58
48.79267620412055,44.56463017274053,19:28:58
48.812096590743295,44.55737989953925,20:23:58
48.76068353793267,44.620193313945386,21:18:58
48.79380043858137,44.538440030221885,22:13:58
48.752560787792554,44.59623104454867,23:08:58
48.815216783782446,44.539060580581996,00:03:58
48.7208160986121,44.52188207105385,00:58:58
48.79324680701377,44.53369507315226,01:53:58
48.80066112816824,44.56958492312776,02:48:58
48.80095311420458,44.579576389293194,03:43:58
48.74785827743705,44.50740057768277,04:38:58
48.75588199059498,44.613296103936555,05:33:58
48.70636242504574,44.564208222829954,06:28:58
48.79777765105631,44.603661021555126,07:23:58
48.80997326370684,44.54908910367565,08:18:58
48.809893617072404,44.5806425945647,09:13:58
48.73449798213364,44.588556620435,10:08:58
48.726058472692735,44.556998694274895,11:03:58
48.74942776994115,44.55522789359017,11:58:58
48.72234648872906,44.579346580302364,12:53:58
48.69520954861207,44.50470523120256,13:48:58
48.73237824903235,44.553259065810565,14:43:58
48.77381906518113,44.5852938981973,15:38:58
48.77205955320086,44.51356967151264,16:33:58
48.72582159218545,44.53255437947744,17:28:58
48.770537302145826,44.59317387831967,18:23:58
48.750378890969166,44.61690043536286,19:18:58
48.80547829633918,44.59816521255033,20:13:58
48.78796042335742,44.520074246596195,21:08:58
48.72856818627032,44.568599377908996,22:03:58
48.77232101471775,44.51661003957755,22:58:58
48.705334996047924,44.57901472193605,23:53:58
48.78037985038124,44.536325072089504,00:48:58
48.70427490132404,44.59880915401045,01:43:58
48.74494962289776,44.52779964550623,02:38:58
48.7614935080486,44.52377396615188,03:33:58
48.70526594655792,44.59469815033208,04:28:58
48.76752418189289,44.56986996063313,05:23:58
48.80408827255238,44.61360894133436,06:18:58
48.81555793786908,44.59531403635003,07:13:58
48.783233335000936,44.56898190166224,08:08:58
48.69619721072305,44.60683016706409,09:03:58
48.81158217983832,44.564287570460976,09:58:58
48.797835913575405,44.55828241933974,10:53:58
48.82052553916985,44.61744297092846,11:48:58
48.77873442563083,44.52922252011304,12:43:58
48.7490894401443,44.574557609661674,13:38:58
48.755141505332126,44.506420509720925,14:33:58
48.81446741420478,44.53321979749104,15:28:58
48.726524811246584,44.58190857908511,16:23:58
48.78071145698982,44.55581065718301,17:18:58
48.80210559572402,44.52713913218131,18:13:58
48.75212881501259,44.574834772745874,19:08:58
48.70896621943055,44.589094180227676,20:03:58
48.729797035759944,44.52293466989645,20:58:58
48.73334024551024,44.5434457292739,21:53:58
48.772619343709025,44.57640603867666,22:48:58
48.70374549002686,44.53693351875552,23:43:58
48.71148194631163,44.5353708295165,00:38:58
48.7638551369067,44.555871915261314,01:33:58
48.75309183371669,44.572385711325104,02:28:58
48.74721766354685,44.521190381305146,03:23:58
48.7140108579235,44.61236657180264,04:18:58
48.740444373868584,44.569539902278194,05:13:58
48.70396105962996,44.61001745380924,06:08:58
48.80897061333562,44.51250076686369,07:03:58
48.70444681477644,44.59032558482868,07:58:58
48.81702233222728,44.61151301093692,08:53:58
48.75725171193177,44.62532657677243,09:48:58
48.73049202037467,44.59684659471918,10:43:58
48.7810860993393,44.543060605633286,11:38:58
48.78225627398992,44.60735225068409,12:33:58
48.76250021992196,44.53222701267505,13:28:58
48.694570040966475,44.62377171520078,14:23:58
48.78352210003685,44.60126329926196,15:18:58
48.753704858781276,44.584451126871144,16:13:58
48.72377983606067,44.52920989514901,17:08:58
48.76093962938839,44.507454243463044,18:03:58
48.81578631742712,44.618959111100224,18:58:58
48.809679368321845,44.533638832470956,19:53:58
48.822503378548625,44.535280142436456,20:48:58
48.80871484561107,44.54756341300171,21:43:58
48.741066641861956,44.57460544340665,22:38:58
48.70329761874832,44.5823247396246,23:33:58
48.75789293819041,44.56964495940719,00:28:58
48.79412853712078,44.55162041940332,01:23:58
48.76096594647435,44.52100241320834,02:18:58
48.71436273613235,44.517209539073136,03:13:58
48.70312656719811,44.512636718181426,04:08:58
48.75690633058273,44.53347956211775,05:03:58
48.77717716783662,44.528684072330734,05:58:58
48.69727069212166,44.60964742131651,06:53:58
48.7676998773404,44.570577569474025,07:48:58
48.71423156391281,44.5576244731968,08:43:58
48.76191988850473,44.52920012076184,09:38:58
48.73875549096293,44.566909634737456,10:33:58
48.81041322460532,44.58225391179836,11:28:58
48.71288242450105,44.52072969551043,12:23:58
48.71079097157854,44.51826992394726,13:18:58
48.69540424091054,44.60141889553756,14:13:58
48.752723759886145,44.59071465336731,15:08:58
48.74939407512098,44.59898783629679,16:03:58
48.78335685151992,44.58359914384512,16:58:58
48.70253828756689,44.58332638180267,17:53:58
48.73459921429882,44.60235026384047,18:48:58
48.715379638417694,44.61154365675255,19:43:58
48.75598649727823,44.61643438898982,20:38:58
48.76563912818734,44.61961302306468,21:33:58
48.79410940819809,44.572554344522814,22:28:58
48.77209832298008,44.51940306789934,23:23:58
48.820445780101025,44.583228821759626,00:18:58
48.77274487701929,44.52420213290274,01:13:58
48.81684233153183,44.57417550997801,02:08:58
48.82152675026748,44.61800382190438,03:03:58
48.76742019573391,44.52894568090844,03:58:58
48.817437426172816,44.502971690948044,04:53:58
48.81715052039931,44.53813246687409,05:48:58
48.80663192057753,44.543367035529606,06:43:58
48.72090029408287,44.54893444611639,07:38:58
48.787298977596485,44.580854379101424,08:33:58
48.75436513692885,44.502472495496164,09:28:58
48.79869419515359,44.621141231099976,10:23:58
48.75278380373197,44.58424488313796,11:18:58
48.78315136731757,44.56807502164135,12:13:58
48.718834035064816,44.51941023743677,13:08:58
48.820414525730136,44.563663088640205,14:03:58
48.745659836769185,44.527686737680504,14:58:58
48.71569331824105,44.55058134972976,15:53:58
48.81926167820769,44.56769714025381,16:48:58
48.7717730009308,44.610743663264216,17:43:58
48.728746769603866,44.57004394741397,18:38:58
48.70084254430483,44.524943066310044,19:33:58
48.758801445509725,44.58713120392023,20:28:58
